"Id";"timestamp";"deviceId";"address";"valueInt";"time_id"
2751243;2026-03-03 22:40:04.826;131109;81;39;3245681
2750862;2026-03-03 22:40:04.583;131108;81;39;3245681
2751193;2026-03-03 22:35:04.913;131109;81;38;3245676
2751577;2026-03-03 22:35:04.913;131109;81;38;3245676
2750821;2026-03-03 22:35:04.656;131108;81;39;3245676
2751179;2026-03-03 22:30:04.670;131109;81;39;3245671
2751563;2026-03-03 22:30:04.670;131109;81;39;3245671
2750800;2026-03-03 22:30:04.413;131108;81;39;3245671
2751147;2026-03-03 22:25:04.870;131109;81;36;3245666
2751531;2026-03-03 22:25:04.870;131109;81;36;3245666
2750769;2026-03-03 22:25:04.533;131108;81;38;3245666
2751115;2026-03-03 22:20:05.056;131109;81;38;3245661
2751499;2026-03-03 22:20:05.056;131109;81;38;3245661
2750738;2026-03-03 22:20:04.600;131108;81;39;3245661
2751083;2026-03-03 22:15:05.156;131109;81;39;3245656
2751467;2026-03-03 22:15:05.156;131109;81;39;3245656
2750707;2026-03-03 22:15:04.673;131108;81;39;3245656
2751435;2026-03-03 22:10:07.096;131109;81;37;3245651
2751051;2026-03-03 22:10:07.096;131109;81;37;3245651
2750676;2026-03-03 22:10:06.006;131108;81;39;3245651
2751019;2026-03-03 22:05:05.376;131109;81;37;3245646
2751403;2026-03-03 22:05:05.376;131109;81;37;3245646
2750645;2026-03-03 22:05:04.676;131108;81;39;3245646
2751371;2026-03-03 22:00:07.253;131109;81;38;3245641
2750987;2026-03-03 22:00:07.253;131109;81;38;3245641
2750614;2026-03-03 22:00:05.986;131108;81;39;3245641
2750583;2026-03-03 21:55:05.006;131109;81;38;3245636
2750174;2026-03-03 21:55:05.006;131109;81;38;3245636
2749790;2026-03-03 21:55:04.550;131108;81;40;3245636
2750526;2026-03-03 21:50:04.906;131109;81;39;3245631
2750142;2026-03-03 21:50:04.906;131109;81;39;3245631
2749759;2026-03-03 21:50:04.646;131108;81;38;3245631
2750110;2026-03-03 21:45:05.016;131109;81;38;3245626
2750494;2026-03-03 21:45:05.016;131109;81;38;3245626
2749728;2026-03-03 21:45:04.723;131108;81;35;3245626
2750078;2026-03-03 21:40:05.800;131109;81;39;3245621
2750462;2026-03-03 21:40:05.800;131109;81;39;3245621
2749697;2026-03-03 21:40:04.966;131108;81;38;3245621
2750028;2026-03-03 21:35:04.830;131109;81;37;3245616
2750412;2026-03-03 21:35:04.830;131109;81;37;3245616
2749656;2026-03-03 21:35:04.466;131108;81;39;3245616
2750398;2026-03-03 21:30:04.673;131109;81;38;3245611
2750014;2026-03-03 21:30:04.673;131109;81;38;3245611
2749635;2026-03-03 21:30:04.436;131108;81;39;3245611
2749982;2026-03-03 21:25:04.816;131109;81;38;3245606
2750366;2026-03-03 21:25:04.816;131109;81;38;3245606
2749604;2026-03-03 21:25:04.583;131108;81;37;3245606
2750334;2026-03-03 21:20:04.890;131109;81;38;3245601
2749950;2026-03-03 21:20:04.890;131109;81;38;3245601
2749573;2026-03-03 21:20:04.650;131108;81;37;3245601
2749918;2026-03-03 21:15:04.880;131109;81;39;3245596
2750302;2026-03-03 21:15:04.880;131109;81;39;3245596
2749542;2026-03-03 21:15:04.576;131108;81;38;3245596
2750270;2026-03-03 21:10:05.096;131109;81;39;3245591
2749886;2026-03-03 21:10:05.096;131109;81;39;3245591
2749511;2026-03-03 21:10:04.690;131108;81;38;3245591
2749854;2026-03-03 21:05:04.786;131109;81;38;3245586
2750238;2026-03-03 21:05:04.786;131109;81;38;3245586
2749480;2026-03-03 21:05:04.543;131108;81;38;3245586
2749822;2026-03-03 21:00:04.856;131109;81;38;3245581
2750206;2026-03-03 21:00:04.856;131109;81;38;3245581
2749449;2026-03-03 21:00:04.530;131108;81;38;3245581
2749418;2026-03-03 20:55:04.933;131109;81;38;3245576
2749009;2026-03-03 20:55:04.933;131109;81;38;3245576
2748625;2026-03-03 20:55:04.656;131108;81;39;3245576
2748977;2026-03-03 20:50:04.910;131109;81;35;3245571
2749361;2026-03-03 20:50:04.910;131109;81;35;3245571
2748594;2026-03-03 20:50:04.656;131108;81;38;3245571
2748945;2026-03-03 20:45:04.726;131109;81;39;3245566
2749329;2026-03-03 20:45:04.726;131109;81;39;3245566
2748563;2026-03-03 20:45:04.483;131108;81;38;3245566
2749297;2026-03-03 20:40:04.720;131109;81;37;3245561
2748913;2026-03-03 20:40:04.720;131109;81;37;3245561
2748532;2026-03-03 20:40:04.473;131108;81;38;3245561
2748863;2026-03-03 20:35:04.750;131109;81;37;3245556
2749247;2026-03-03 20:35:04.750;131109;81;37;3245556
2748491;2026-03-03 20:35:04.503;131108;81;38;3245556
2749233;2026-03-03 20:30:04.790;131109;81;38;3245551
2748849;2026-03-03 20:30:04.790;131109;81;38;3245551
2748470;2026-03-03 20:30:04.523;131108;81;38;3245551
2748817;2026-03-03 20:25:04.926;131109;81;38;3245546
2749201;2026-03-03 20:25:04.926;131109;81;38;3245546
2748439;2026-03-03 20:25:04.646;131108;81;38;3245546
2749169;2026-03-03 20:20:04.693;131109;81;38;3245541
2748785;2026-03-03 20:20:04.693;131109;81;38;3245541
2748408;2026-03-03 20:20:04.380;131108;81;39;3245541
2748753;2026-03-03 20:15:04.966;131109;81;38;3245536
2749137;2026-03-03 20:15:04.966;131109;81;38;3245536
2748377;2026-03-03 20:15:04.693;131108;81;38;3245536
2749105;2026-03-03 20:10:04.686;131109;81;39;3245531
2748721;2026-03-03 20:10:04.686;131109;81;39;3245531
2748346;2026-03-03 20:10:04.433;131108;81;40;3245531
2748689;2026-03-03 20:05:04.916;131109;81;39;3245526
2749073;2026-03-03 20:05:04.916;131109;81;39;3245526
2748315;2026-03-03 20:05:04.666;131108;81;40;3245526
2748657;2026-03-03 20:00:04.670;131109;81;38;3245521
2749041;2026-03-03 20:00:04.670;131109;81;38;3245521
2748284;2026-03-03 20:00:04.440;131108;81;40;3245521
2748228;2026-03-03 19:55:04.760;131109;81;39;3245516
2747844;2026-03-03 19:55:04.760;131109;81;39;3245516
2747460;2026-03-03 19:55:04.503;131108;81;40;3245516
2747812;2026-03-03 19:50:04.760;131109;81;37;3245511
2748196;2026-03-03 19:50:04.760;131109;81;37;3245511
2747429;2026-03-03 19:50:04.506;131108;81;40;3245511
2748164;2026-03-03 19:45:04.823;131109;81;38;3245506
2747780;2026-03-03 19:45:04.823;131109;81;38;3245506
2747398;2026-03-03 19:45:04.570;131108;81;39;3245506
2747748;2026-03-03 19:40:04.693;131109;81;38;3245501
2748132;2026-03-03 19:40:04.693;131109;81;38;3245501
2747367;2026-03-03 19:40:04.430;131108;81;40;3245501
2747698;2026-03-03 19:35:04.796;131109;81;38;3245496
2748082;2026-03-03 19:35:04.796;131109;81;38;3245496
2747326;2026-03-03 19:35:04.523;131108;81;39;3245496
2748068;2026-03-03 19:30:05.013;131109;81;38;3245491
2747684;2026-03-03 19:30:05.013;131109;81;38;3245491
2747305;2026-03-03 19:30:04.656;131108;81;40;3245491
2747652;2026-03-03 19:25:05.040;131109;81;39;3245486
2748036;2026-03-03 19:25:05.040;131109;81;39;3245486
2747274;2026-03-03 19:25:04.513;131108;81;40;3245486
2748004;2026-03-03 19:20:04.623;131109;81;38;3245481
2747620;2026-03-03 19:20:04.623;131109;81;38;3245481
2747243;2026-03-03 19:20:04.383;131108;81;39;3245481
2747588;2026-03-03 19:15:04.686;131109;81;38;3245476
2747972;2026-03-03 19:15:04.686;131109;81;38;3245476
2747212;2026-03-03 19:15:04.416;131108;81;40;3245476
2747556;2026-03-03 19:10:04.656;131109;81;38;3245471
2747940;2026-03-03 19:10:04.656;131109;81;38;3245471
2747181;2026-03-03 19:10:04.403;131108;81;40;3245471
2747524;2026-03-03 19:05:04.806;131109;81;39;3245466
2747908;2026-03-03 19:05:04.806;131109;81;39;3245466
2747150;2026-03-03 19:05:04.560;131108;81;39;3245466
2747492;2026-03-03 19:00:04.606;131109;81;37;3245461
2747876;2026-03-03 19:00:04.606;131109;81;37;3245461
2747119;2026-03-03 19:00:04.366;131108;81;40;3245461
2746679;2026-03-03 18:55:04.646;131109;81;38;3245456
2747063;2026-03-03 18:55:04.646;131109;81;38;3245456
2746295;2026-03-03 18:55:04.376;131108;81;40;3245456
2747031;2026-03-03 18:50:04.870;131109;81;38;3245451
2746647;2026-03-03 18:50:04.870;131109;81;38;3245451
2746264;2026-03-03 18:50:04.623;131108;81;40;3245451
2746615;2026-03-03 18:45:04.860;131109;81;39;3245446
2746999;2026-03-03 18:45:04.860;131109;81;39;3245446
2746233;2026-03-03 18:45:04.610;131108;81;39;3245446
2746967;2026-03-03 18:40:04.773;131109;81;39;3245441
2746583;2026-03-03 18:40:04.773;131109;81;39;3245441
2746202;2026-03-03 18:40:04.533;131108;81;40;3245441
2746533;2026-03-03 18:35:04.826;131109;81;39;3245436
2746917;2026-03-03 18:35:04.826;131109;81;39;3245436
2746161;2026-03-03 18:35:04.533;131108;81;40;3245436
2746519;2026-03-03 18:30:04.850;131109;81;39;3245431
2746903;2026-03-03 18:30:04.850;131109;81;39;3245431
2746140;2026-03-03 18:30:04.576;131108;81;40;3245431
2746487;2026-03-03 18:25:04.693;131109;81;38;3245426
2746871;2026-03-03 18:25:04.693;131109;81;38;3245426
2746109;2026-03-03 18:25:04.450;131108;81;40;3245426
2746455;2026-03-03 18:20:04.853;131109;81;38;3245421
2746839;2026-03-03 18:20:04.853;131109;81;38;3245421
2746078;2026-03-03 18:20:04.613;131108;81;40;3245421
2746423;2026-03-03 18:15:04.746;131109;81;38;3245416
2746807;2026-03-03 18:15:04.746;131109;81;38;3245416
2746047;2026-03-03 18:15:04.456;131108;81;37;3245416
2746391;2026-03-03 18:10:04.856;131109;81;38;3245411
2746775;2026-03-03 18:10:04.856;131109;81;38;3245411
2746016;2026-03-03 18:10:04.610;131108;81;36;3245411
2746359;2026-03-03 18:05:04.816;131109;81;38;3245406
2746743;2026-03-03 18:05:04.816;131109;81;38;3245406
2745985;2026-03-03 18:05:04.533;131108;81;35;3245406
2746327;2026-03-03 18:00:04.756;131109;81;39;3245401
2746711;2026-03-03 18:00:04.756;131109;81;39;3245401
2745954;2026-03-03 18:00:04.516;131108;81;38;3245401
2745923;2026-03-03 17:55:04.796;131109;81;39;3245396
2745514;2026-03-03 17:55:04.796;131109;81;39;3245396
2745130;2026-03-03 17:55:04.450;131108;81;39;3245396
2745866;2026-03-03 17:50:05.290;131109;81;39;3245391
2745482;2026-03-03 17:50:05.290;131109;81;39;3245391
2745099;2026-03-03 17:50:05.010;131108;81;40;3245391
2745450;2026-03-03 17:45:04.783;131109;81;39;3245386
2745834;2026-03-03 17:45:04.783;131109;81;39;3245386
2745068;2026-03-03 17:45:04.526;131108;81;39;3245386
2745418;2026-03-03 17:40:04.760;131109;81;39;3245381
2745802;2026-03-03 17:40:04.760;131109;81;39;3245381
2745037;2026-03-03 17:40:04.513;131108;81;40;3245381
2745368;2026-03-03 17:35:04.890;131109;81;39;3245376
2745770;2026-03-03 17:35:04.890;131109;81;39;3245376
2744996;2026-03-03 17:35:04.643;131108;81;39;3245376
2745354;2026-03-03 17:30:04.680;131109;81;39;3245371
2745738;2026-03-03 17:30:04.680;131109;81;39;3245371
2744975;2026-03-03 17:30:04.426;131108;81;40;3245371
2745322;2026-03-03 17:25:04.846;131109;81;39;3245366
2745706;2026-03-03 17:25:04.846;131109;81;39;3245366
2744944;2026-03-03 17:25:04.583;131108;81;39;3245366
2745290;2026-03-03 17:20:04.830;131109;81;38;3245361
2745674;2026-03-03 17:20:04.830;131109;81;38;3245361
2744913;2026-03-03 17:20:04.590;131108;81;40;3245361
2745258;2026-03-03 17:15:04.810;131109;81;37;3245356
2745642;2026-03-03 17:15:04.810;131109;81;37;3245356
2744882;2026-03-03 17:15:04.563;131108;81;40;3245356
2745226;2026-03-03 17:10:04.913;131109;81;36;3245351
2745610;2026-03-03 17:10:04.913;131109;81;36;3245351
2744851;2026-03-03 17:10:04.643;131108;81;40;3245351
2745194;2026-03-03 17:05:04.900;131109;81;35;3245346
2745578;2026-03-03 17:05:04.900;131109;81;35;3245346
2744820;2026-03-03 17:05:04.660;131108;81;40;3245346
2745162;2026-03-03 17:00:04.700;131109;81;37;3245341
2745546;2026-03-03 17:00:04.700;131109;81;37;3245341
2744789;2026-03-03 17:00:04.393;131108;81;40;3245341
2744758;2026-03-03 16:55:04.813;131109;81;39;3245336
2744349;2026-03-03 16:55:04.813;131109;81;39;3245336
2743965;2026-03-03 16:55:04.566;131108;81;40;3245336
